
m:\bw1bect0_OBCU_ATP_CONSTRUCTION_int\TGMT_OBCU_ATP\ATP_BUILD\GEN\Appl>java -jar c:\bin\OmfAnalysis.jar Appl.omf 1024 ..\..\..\ANI\src ..\..\..\ATP_root\src ..\..\..\braking_curves\src ..\..\..\configuration\src ..\..\..\diagnosis\src ..\..\..\DOOR\src ..\..\..\locating\src ..\..\..\modes_level\src ..\..\..\movement_authority\src ..\..\..\supervisions\src ..\..\..\tdb_management\src ..\..\..\TIU\src ..\..\..\train_consist_manager\src 
OmfAnalysis v1.03, 24.07.2018
OMF-File: Appl.omf ok.
Size=9840732 Bytes, CPU-time 2,22500 ms
CPP-file=LOC_BALISEMEASUREMENT_C.CPP, CPU-time 6,02900 ms
CPP-file=LOC_BALISELISTMANAGER_C.CPP, CPU-time 6,12100 ms
CPP-file=LOC_BTMCONTROLLER_C.CPP, CPU-time 6,25400 ms
CPP-file=LOC_BTMCROSSTALKMANAGER_C.CPP, CPU-time 6,29200 ms
CPP-file=LOC_BTMRAWTELEGRAMHISTORY_C.CPP, CPU-time 6,32400 ms
CPP-file=LOC_BTMRAWTELEGRAMSET_C.CPP, CPU-time 6,35300 ms
CPP-file=LOC_CONFIGDATA_C.CPP, CPU-time 6,47400 ms
CPP-file=LOC_COORDINATEINTERVAL_C.CPP, CPU-time 6,51100 ms
CPP-file=LOC_DATAFROMNEIGHBOUR_C.CPP, CPU-time 6,53700 ms
CPP-file=LOC_DIAGNOSIS_I.CPP, CPU-time 6,55500 ms
CPP-file=LOC_INTERNALREFPOINT_C.CPP, CPU-time 6,58200 ms
CPP-file=LOC_LOCATING_C.CPP, CPU-time 6,72800 ms
CPP-file=LOC_LOCATING_I.CPP, CPU-time 6,75900 ms
CPP-file=LOC_LOCATINGDATA_C.CPP, CPU-time 6,79000 ms
CPP-file=LOC_LOCATIONTRACKER_C.CPP, CPU-time 6,84800 ms
CPP-file=LOC_MODESLEVEL_I.CPP, CPU-time 6,86600 ms
CPP-file=LOC_MOVEMENTAUTHORITY_I.CPP, CPU-time 6,88500 ms
CPP-file=LOC_OBCUDATARECEIVER_C.CPP, CPU-time 6,98000 ms
CPP-file=LOC_OBSERVER_I.CPP, CPU-time 7,00100 ms
CPP-file=LOC_POSITIONEVENT_I.CPP, CPU-time 7,01800 ms
CPP-file=LOC_POSITIONRAWEVENT_I.CPP, CPU-time 7,03600 ms
CPP-file=LOC_POSITIONRAWEVENTTRIGGER_I.CPP, CPU-time 7,05400 ms
CPP-file=LOC_POSITIONEVENTTRIGGER_I.CPP, CPU-time 7,07200 ms
CPP-file=LOC_PRECISEBALISEDATA_C.CPP, CPU-time 7,09200 ms
CPP-file=LOC_REFERENCEBG_C.CPP, CPU-time 7,11400 ms
CPP-file=LOC_REFPOINT_C.CPP, CPU-time 7,13200 ms
CPP-file=LOC_ROOT_I.CPP, CPU-time 7,15000 ms
CPP-file=LOC_STATUSMANAGER_C.CPP, CPU-time 7,23900 ms
CPP-file=LOC_STOPPINGWINDOW_C.CPP, CPU-time 7,27800 ms
CPP-file=LOC_SUBJECT_I.CPP, CPU-time 7,29700 ms
CPP-file=LOC_SUPERVISIONS_I.CPP, CPU-time 7,31600 ms
CPP-file=LOC_TRAINDIRECTION_C.CPP, CPU-time 7,35300 ms
CPP-file=LOC_TELEGRAMHANDLER_I.CPP, CPU-time 7,37300 ms
CPP-file=LOC_TRAINCONSISTMANAGER_I.CPP, CPU-time 7,39200 ms
CPP-file=LOC_TRAINEXTREMITY_C.CPP, CPU-time 7,45700 ms
CPP-file=POS_CONFIDENCEINTERVAL_C.CPP, CPU-time 7,48000 ms
CPP-file=POS_COORDHISTORY_C.CPP, CPU-time 7,52400 ms
CPP-file=POS_COORDINATEMANAGER_C.CPP, CPU-time 7,56900 ms
CPP-file=POS_COORDSET_C.CPP, CPU-time 7,58800 ms
CPP-file=POS_MEASUREMENT_C.CPP, CPU-time 7,60800 ms
CPP-file=POS_ODO_COMMANDFIFOENTRY_C.CPP, CPU-time 7,62800 ms
CPP-file=POS_ODOMETRYCONTROLLER_I.CPP, CPU-time 7,64500 ms
CPP-file=POS_ODOMETRYCONTROLLER_C.CPP, CPU-time 7,72600 ms
CPP-file=POS_POSITIONING_C.CPP, CPU-time 7,77400 ms
CPP-file=POS_POSITIONEVENT_C.CPP, CPU-time 7,81200 ms
CPP-file=POS_POSITIONRAWEVENT_C.CPP, CPU-time 7,86300 ms
CPP-file=POS_RAWCOORDHISTORY_C.CPP, CPU-time 7,89900 ms
CPP-file=POS_RAWCOORDMANAGER_C.CPP, CPU-time 7,93400 ms
CPP-file=POS_RAWCOORDSET_C.CPP, CPU-time 7,95400 ms
CPP-file=POS_SPEEDANDDIRECTIONMANAGER_C.CPP, CPU-time 7,98700 ms
CPP-file=POS_STANDSTILLMANAGER_C.CPP, CPU-time 8,02100 ms
CPP-file=ML_CONTROLLEVELSTATEMACHINEEXTERNAL_I.CPP, CPU-time 8,04000 ms
CPP-file=ML_CONTROLLEVELSTATEMACHINE_C.CPP, CPU-time 8,13500 ms
CPP-file=ML_DATAMANAGEREXTERNAL_I.CPP, CPU-time 8,15300 ms
CPP-file=ML_DATAMANAGERINTERNAL_I.CPP, CPU-time 8,17000 ms
CPP-file=ML_DATAMANAGER_C.CPP, CPU-time 8,34000 ms
CPP-file=ML_DOORSUPERVISION_I.CPP, CPU-time 8,36200 ms
CPP-file=ML_MODESLEVEL_C.CPP, CPU-time 8,50100 ms
CPP-file=ML_OUTPUTHANDLER_C.CPP, CPU-time 8,63600 ms
CPP-file=ML_SUPERVISIONS_I.CPP, CPU-time 8,66100 ms
CPP-file=ML_TELEGRAMHANDLER_I.CPP, CPU-time 8,68000 ms
CPP-file=ML_TRAINCONSISTMANAGER_I.CPP, CPU-time 8,69800 ms
CPP-file=ML_TRAININTERFACEUNIT_I.CPP, CPU-time 8,71600 ms
CPP-file=ML_APSCMANAGER_C.CPP, CPU-time 8,77000 ms
CPP-file=SM_TGMT_TGMT_CLSM.C, CPU-time 9,04100 ms
CPP-file=MA_DRIVINGREFERENCE_C.CPP, CPU-time 9,24300 ms
CPP-file=MA_DRIVINGREFERENCEMANAGER_C.CPP, CPU-time 9,31400 ms
CPP-file=MA_PROFILEANDLISTMNGR_C.CPP, CPU-time 9,43100 ms
CPP-file=MA_SEGMENTELEMENT_C.CPP, CPU-time 9,47400 ms
CPP-file=MA_TELEGRAMHANDLER_I.CPP, CPU-time 9,49400 ms
CPP-file=MA_COORDINATE_I.CPP, CPU-time 9,51400 ms
CPP-file=MA_MODESLEVEL_I.CPP, CPU-time 9,53300 ms
CPP-file=MA_DOOR_I.CPP, CPU-time 9,55100 ms
CPP-file=MA_SUBJECT_I.CPP, CPU-time 9,56900 ms
CPP-file=MA_BASE_C.CPP, CPU-time 9,64500 ms
CPP-file=MA_IXLC_C.CPP, CPU-time 9,68900 ms
CPP-file=MA_ITC_C.CPP, CPU-time 9,82300 ms
CPP-file=MA_CTC_C.CPP, CPU-time 10,0510 ms
CPP-file=MA_MOVEMENTAUTHORITY_C.CPP, CPU-time 10,1080 ms
CPP-file=MA_OBSERVER_I.CPP, CPU-time 10,1350 ms
CPP-file=MA_TRACKELEMENTTERRITORY_C.CPP, CPU-time 10,1530 ms
CPP-file=MA_TRACKELEMENTPROFILES_C.CPP, CPU-time 10,1720 ms
CPP-file=MA_TRACKELEMENTPLATFORM_C.CPP, CPU-time 10,2060 ms
CPP-file=MA_TRACKELEMENTBASE_C.CPP, CPU-time 10,2260 ms
CPP-file=MA_TRACKELEMENTBALISE_C.CPP, CPU-time 10,2470 ms
CPP-file=MA_TRACKELEMENTSIGNAL_C.CPP, CPU-time 10,2660 ms
CPP-file=MA_TRACKELEMENTWCUAREA_C.CPP, CPU-time 10,2860 ms
CPP-file=MA_TRACKELEMENTRAUZ_C.CPP, CPU-time 10,3070 ms
CPP-file=MA_PROFILE_C.CPP, CPU-time 10,3300 ms
CPP-file=MA_PROFILEHANDLER_C.CPP, CPU-time 10,6450 ms
CPP-file=MA_SPEEDPROFILEHANDLER_C.CPP, CPU-time 11,2610 ms
CPP-file=MA_GRADIENTPROFILEHANDLER_C.CPP, CPU-time 11,2920 ms
CPP-file=MA_SIGNALLISTHANDLER_C.CPP, CPU-time 11,3220 ms
CPP-file=MA_REVERSEDRIVINGDETECTOR_C.CPP, CPU-time 11,3510 ms
CPP-file=MA_TMPSEGTAB_C.CPP, CPU-time 11,3960 ms
CPP-file=MA_TRACKELEMENTCONDITIONALSTOPPROFILE_C.CPP, CPU-time 11,4170 ms
CPP-file=MA_TRACKELEMENTFAMPROFILE_C.CPP, CPU-time 11,4380 ms
CPP-file=MA_MACTC_I.CPP, CPU-time 11,4560 ms
CPP-file=MA_MAIXLC_I.CPP, CPU-time 11,4750 ms
CPP-file=SUP_SUPERVISIONS_C.CPP, CPU-time 11,5160 ms
CPP-file=SUP_GENERICSUPERVISION_C.CPP, CPU-time 11,5410 ms
CPP-file=SUP_GENERICSUPERVISIONEB_C.CPP, CPU-time 11,5610 ms
CPP-file=SUP_DELOCALIZED_C.CPP, CPU-time 11,5810 ms
CPP-file=SUP_DELOCALIZEDCOORDINATELOST_C.CPP, CPU-time 11,6020 ms
CPP-file=SUP_ODOSTATUS_C.CPP, CPU-time 11,6240 ms
CPP-file=SUP_REPOSBALISE_C.CPP, CPU-time 11,6450 ms
CPP-file=SUP_ROLLBACK_C.CPP, CPU-time 11,6680 ms
CPP-file=SUP_RSPAVAILABILITY_C.CPP, CPU-time 11,7170 ms
CPP-file=SUP_MAINSIGBALISE_C.CPP, CPU-time 11,7480 ms
CPP-file=SUP_UNCERTAINTYINTERVAL_C.CPP, CPU-time 11,7690 ms
CPP-file=SUP_UNCERTAINTYINTERVALBRAKING_C.CPP, CPU-time 11,7900 ms
CPP-file=SUP_STANDSTILL_C.CPP, CPU-time 11,8080 ms
CPP-file=SUP_CFG_C.CPP, CPU-time 11,8350 ms
CPP-file=SUP_MODESLEVEL_I.CPP, CPU-time 11,8530 ms
CPP-file=SUP_TRAINCONSISTMANAGER_I.CPP, CPU-time 11,8700 ms
CPP-file=SUP_TRAININTERFACEUNIT_I.CPP, CPU-time 11,8890 ms
CPP-file=SUP_TRAININTEGRITY_C.CPP, CPU-time 11,9120 ms
CPP-file=SUP_TRAININTEGRITYBRAKING_C.CPP, CPU-time 11,9330 ms
CPP-file=SUP_MOVEMENTAUTHORITY_I.CPP, CPU-time 11,9510 ms
CPP-file=SUP_TDBVERSIONCHECK_C.CPP, CPU-time 11,9710 ms
CPP-file=SUP_IMMEDIATESTOP_C.CPP, CPU-time 11,9910 ms
CPP-file=SUP_CONDITIONALSTOP_C.CPP, CPU-time 12,0500 ms
CPP-file=SUP_CLOSEBUMPERSTOP_C.CPP, CPU-time 12,0810 ms
CPP-file=SUP_DETAILEDEBREASONHANDLER_C.CPP, CPU-time 12,1100 ms
CPP-file=TDB_SERVICE_C.CPP, CPU-time 12,1990 ms
CPP-file=TDB_SERVICEABSTRACTNETWORKINTERFACE_I.CPP, CPU-time 12,2170 ms
CPP-file=TDB_SERVICELOCATING_I.CPP, CPU-time 12,2350 ms
CPP-file=TDB_SERVICEMOVEMENTAUTHORITY_I.CPP, CPU-time 12,2530 ms
CPP-file=TDB_SERVICEMODESLEVEL_I.CPP, CPU-time 12,2720 ms
CPP-file=TDB_SERVICETELEGRAMHANDLER_I.CPP, CPU-time 12,2900 ms
CPP-file=TDB_SEGMENTLOCATION_I.CPP, CPU-time 12,3080 ms
CPP-file=TDB_BALISELOCATION_I.CPP, CPU-time 12,3280 ms
CPP-file=TDB_BUMPERLOCATION_I.CPP, CPU-time 12,3480 ms
CPP-file=TDB_CIVILSPEEDLOCATION_I.CPP, CPU-time 12,3670 ms
CPP-file=TDB_PLATFORMLOCATION_I.CPP, CPU-time 12,3860 ms
CPP-file=TDB_SIGNALLOCATION_I.CPP, CPU-time 12,4030 ms
CPP-file=TDB_SLOPELOCATION_I.CPP, CPU-time 12,4210 ms
CPP-file=TDB_TERRITORYLOCATION_I.CPP, CPU-time 12,4380 ms
CPP-file=TDB_RUNAUTHORISATIONZONELOCATION_I.CPP, CPU-time 12,4550 ms
CPP-file=TDB_WCUCONTROLAREALOCATION_I.CPP, CPU-time 12,4730 ms
CPP-file=TDB_FAMPROFILELOCATION_I.CPP, CPU-time 12,4910 ms
CPP-file=TDB_CONDITIONALSTOPLOCATION_I.CPP, CPU-time 12,5090 ms
CPP-file=TDB_TRACKLOCATION_I.CPP, CPU-time 12,5260 ms
CPP-file=TDB_SEGMENTLOCATION_C.CPP, CPU-time 12,5440 ms
CPP-file=TDB_BALISELOCATION_C.CPP, CPU-time 12,7660 ms
CPP-file=TDB_BUMPERLOCATION_C.CPP, CPU-time 12,7870 ms
CPP-file=TDB_CIVILSPEEDLOCATION_C.CPP, CPU-time 12,8080 ms
CPP-file=TDB_PLATFORMLOCATION_C.CPP, CPU-time 12,8560 ms
CPP-file=TDB_SIGNALLOCATION_C.CPP, CPU-time 12,8800 ms
CPP-file=TDB_SLOPELOCATION_C.CPP, CPU-time 12,9030 ms
CPP-file=TDB_TERRITORYLOCATION_C.CPP, CPU-time 12,9240 ms
CPP-file=TDB_RUNAUTHORISATIONZONELOCATION_C.CPP, CPU-time 12,9480 ms
CPP-file=TDB_WCUCONTROLAREALOCATION_C.CPP, CPU-time 12,9690 ms
CPP-file=TDB_FAMPROFILELOCATION_C.CPP, CPU-time 12,9910 ms
CPP-file=TDB_CONDITIONALSTOPLOCATION_C.CPP, CPU-time 13,0090 ms
CPP-file=TDB_TRACKLOCATION_C.CPP, CPU-time 13,0590 ms
CPP-file=TDB_BALISEELEMENT_C.CPP, CPU-time 13,0800 ms
CPP-file=TDB_BUMPERELEMENT_C.CPP, CPU-time 13,1170 ms
CPP-file=TDB_CIVILSPEEDELEMENT_C.CPP, CPU-time 13,1540 ms
CPP-file=TDB_PLATFORMPOINTELEMENT_C.CPP, CPU-time 13,1970 ms
CPP-file=TDB_SIGNALELEMENT_C.CPP, CPU-time 13,2370 ms
CPP-file=TDB_SLOPEELEMENT_C.CPP, CPU-time 13,2740 ms
CPP-file=TDB_TERRITORYELEMENT_C.CPP, CPU-time 13,3080 ms
CPP-file=TDB_RUNAUTHORISATIONZONEELEMENT_C.CPP, CPU-time 13,3430 ms
CPP-file=TDB_WCUCONTROLAREAELEMENT_C.CPP, CPU-time 13,3770 ms
CPP-file=TDB_FAMPROFILEELEMENT_C.CPP, CPU-time 13,4100 ms
CPP-file=TDB_CONDITIONALSTOPELEMENT_C.CPP, CPU-time 13,4510 ms
CPP-file=TDB_LIMITELEMENT_C.CPP, CPU-time 13,4940 ms
CPP-file=TDB_TRACKELEMENT_C.CPP, CPU-time 13,5360 ms
CPP-file=TDB_PLATFORMTRACK_C.CPP, CPU-time 13,5550 ms
CPP-file=TDB_SECTIONMANAGER_C.CPP, CPU-time 13,6170 ms
CPP-file=TDB_SECTION_C.CPP, CPU-time 13,6600 ms
CPP-file=TDB_SEGMENT_C.CPP, CPU-time 13,7820 ms
CPP-file=TDB_CONFIGURATION_C.CPP, CPU-time 13,8160 ms
CPP-file=TDB_TIMEREVENTREGISTRATION_C.CPP, CPU-time 13,8400 ms
CPP-file=TDB_FILEOPERATION_C.CPP, CPU-time 13,8640 ms
CPP-file=TDB_QUEUEOPERATION_C.CPP, CPU-time 13,8850 ms
CPP-file=TDB_COMMOPERATION_C.CPP, CPU-time 13,9060 ms
CPP-file=TIU_CONFIGURATION_C.CPP, CPU-time 14,0650 ms
CPP-file=TIU_ELEMENT_C.CPP, CPU-time 14,0830 ms
CPP-file=TIU_EBLOGIC_C.CPP, CPU-time 14,1330 ms
CPP-file=TIU_INPUT_C.CPP, CPU-time 14,1920 ms
CPP-file=TIU_INPUTBUTTON_C.CPP, CPU-time 14,2310 ms
CPP-file=TIU_INPUTSWITCH_C.CPP, CPU-time 14,2500 ms
CPP-file=TIU_INPUTCABACTIVE_C.CPP, CPU-time 14,2690 ms
CPP-file=TIU_INPUTTESTINPUT_C.CPP, CPU-time 14,2880 ms
CPP-file=TIU_INPUTSPOOL_C.CPP, CPU-time 14,3610 ms
CPP-file=TIU_INPUTSPOOLFACTORY_C.CPP, CPU-time 14,4030 ms
CPP-file=TIU_OUTPUT_C.CPP, CPU-time 14,4230 ms
CPP-file=TIU_OUTPUTSPOOL_C.CPP, CPU-time 14,4610 ms
CPP-file=TIU_DEVICE_C.CPP, CPU-time 14,4790 ms
CPP-file=TIU_DEVICESPOOL_C.CPP, CPU-time 14,5080 ms
CPP-file=TIU_TELEGRAMHANDLER_I.CPP, CPU-time 14,5260 ms
CPP-file=TIU_TRAININTERFACEUNIT_I.CPP, CPU-time 14,5440 ms
CPP-file=TIU_BRAKE_I.CPP, CPU-time 14,5620 ms
CPP-file=TIU_TESTSTATICINPUTS_C.CPP, CPU-time 14,5970 ms
CPP-file=TIU_TESTMANAGER_C.CPP, CPU-time 14,7060 ms
CPP-file=TIU_TRAININTERFACEUNIT_C.CPP, CPU-time 14,7540 ms
CPP-file=TIU_INPUTREACTIVATE_C.CPP, CPU-time 14,7730 ms
CPP-file=TIU_INPUTREACTIVATEBASE_C.CPP, CPU-time 14,7990 ms
CPP-file=TIU_INPUTREACTIVATEBUTTON_C.CPP, CPU-time 14,8170 ms
CPP-file=TIU_INPUTREACTIVATENONE_C.CPP, CPU-time 14,8350 ms
CPP-file=TIU_INPUTREACTIVATESWITCH_C.CPP, CPU-time 14,8510 ms
CPP-file=TIU_MODESLEVEL_I.CPP, CPU-time 14,8700 ms
CPP-file=TIU_INPUTINFORMER_I.CPP, CPU-time 14,8880 ms
CPP-file=TIU_INPUTINFORMERBASE_C.CPP, CPU-time 14,9060 ms
CPP-file=TIU_INPUTINFORMERINTERNAL_C.CPP, CPU-time 14,9300 ms
CPP-file=TIU_INPUTINFORMEREXTERNAL_C.CPP, CPU-time 14,9580 ms
CPP-file=TIU_INPUTINFORMERCABSTATE_C.CPP, CPU-time 14,9780 ms
CPP-file=TIU_INPUTINFORMERPARAM_C.CPP, CPU-time 14,9980 ms
CPP-file=TIU_ONREACTIVATIONFUNCTIONOID_C.CPP, CPU-time 15,0170 ms
CPP-file=TIU_VITALEBREASON_C.CPP, CPU-time 15,0380 ms
CPP-file=TCM_CABCHANGE_C.CPP, CPU-time 15,0750 ms
CPP-file=TCM_CABCHANGETIMGR_I.CPP, CPU-time 15,0930 ms
CPP-file=TCM_CFG_C.CPP, CPU-time 15,1230 ms
CPP-file=TCM_IPSTELEGRAM_C.CPP, CPU-time 15,1580 ms
CPP-file=TCM_LOCATING_I.CPP, CPU-time 15,1760 ms
CPP-file=TCM_MODESLEVEL_I.CPP, CPU-time 15,1950 ms
CPP-file=TCM_NONVITALTRAINCONSIST_C.CPP, CPU-time 15,2270 ms
CPP-file=TCM_OBCU_C.CPP, CPU-time 15,2470 ms
CPP-file=TCM_PPCENDPOINT_C.CPP, CPU-time 15,2660 ms
CPP-file=TCM_PPCHANDLER_C.CPP, CPU-time 15,3230 ms
CPP-file=TCM_PPTHANDLER_C.CPP, CPU-time 15,3600 ms
CPP-file=TCM_TCDMASTER_C.CPP, CPU-time 15,4860 ms
CPP-file=TCM_TCDMASTER_I.CPP, CPU-time 15,5030 ms
CPP-file=TCM_TCDSLAVE_C.CPP, CPU-time 15,5620 ms
CPP-file=TCM_TCHANDLER_C.CPP, CPU-time 15,6220 ms
CPP-file=TCM_TCHANDLERCABCHANGE_I.CPP, CPU-time 15,6460 ms
CPP-file=TCM_TCMTCDMASTER_I.CPP, CPU-time 15,6660 ms
